QD,Qpairs,IO_Size,Run_ID,IOPS,Cycles,Instructions,LLC_Misses,Dram_Read_Bytes,Dram_Write_Bytes,Energy_Joules,Cycles_Per_IO,Instr_Per_IO,LLC_Misses_Per_IO,Dram_Read_Bytes_Per_IO,Dram_Write_Bytes_Per_IO,Energy_Per_IO,p50_Latency,p99_Latency,p99.9_Latency,Polls,Completions,Scans_Per_Completion,Completions_Per_Call,MMIO_Writes_Per_IO,Completions_Per_Poll_Hist,Submit_Logic_ns,Completion_Logic_ns,Submit_Preamble_ns,Tracker_Alloc_ns,Addr_Xlate_ns,Cmd_Construct_ns,Fence_ns,Doorbell_ns,CQE_Detect_ns,Tracker_Lookup_ns,State_Dealloc_ns
128,1,4096,3,3847386.3103145026,158668189930,167486245877,4493555461,0,0,0,1374.683808109977,1451.0824784086467,38.931672037136615,0.0,0.0,0.0,33.212,37.576,47.515,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
16,1,16384,1,1441946.1906376665,158667579004,64576749839,6413486636,0,0,0,3667.903375641524,1492.8146015037835,148.25996230284173,0.0,0.0,0.0,11.03,14.424,23.636,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
16,1,16384,2,1440971.161922109,158666938888,64551831438,6409816160,0,0,0,3670.370443693322,1493.2482838378346,148.27537449234254,0.0,0.0,0.0,11.03,14.121,16.364,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
16,1,16384,3,1447777.5567038732,158600287361,64855134055,6438868171,0,0,0,3651.5804661337193,1493.2112960468507,148.24717929871412,0.0,0.0,0.0,10.97,14.182,18.909,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
32,1,16384,1,1439243.9956494723,158666955356,63609674257,6405888471,0,0,0,3674.775457013459,1473.2196081016255,148.36234602711875,0.0,0.0,0.0,22.061,26.667,35.636,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
32,1,16384,2,1439738.8803481595,158666669478,63740507594,6408336096,0,0,0,3673.50569939532,1475.7423137401645,148.3680173646101,0.0,0.0,0.0,22.061,26.667,35.394,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
32,1,16384,3,1440830.0788932282,158660202964,63761581848,6416490672,0,0,0,3670.5740042544235,1475.1122236652727,148.4443068847466,0.0,0.0,0.0,22.061,26.545,34.909,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
64,1,16384,1,1327481.3438669143,158664568523,58430015987,5927849122,0,0,0,3984.1003982477764,1467.1898844869406,148.84952745003932,0.0,0.0,0.0,48.0,53.333,64.485,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
64,1,16384,2,1328194.0530099117,158663815124,58459057283,5928449739,0,0,0,3981.943621477124,1467.1314318496838,148.78472829491378,0.0,0.0,0.0,48.0,53.333,63.515,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
64,1,16384,3,1331912.8930555137,158665740350,58642634077,5924607930,0,0,0,3970.873800563344,1467.6293618188286,148.2731581244396,0.0,0.0,0.0,47.758,60.848,74.182,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
128,1,16384,1,1164860.3067879037,158663207046,51210305455,5533036775,0,0,0,4540.264216559809,1465.4205074086567,158.33191163946861,0.0,0.0,0.0,108.606,135.758,145.455,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
128,1,16384,2,1170609.9257796847,158665087312,51435213823,5553995198,0,0,0,4518.017596861486,1464.6271910699766,158.15103664302072,0.0,0.0,0.0,108.121,135.758,139.636,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
128,1,16384,3,1166583.7172556075,158544200988,51267550048,5539871667,0,0,0,4530.156405776455,1464.89129726032,158.29330220245055,0.0,0.0,0.0,108.121,136.727,139.636,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0
