QD,Qpairs,IO_Size,Run_ID,IOPS,Cycles,Instructions,LLC_Misses,Dram_Read_Bytes,Dram_Write_Bytes,Energy_Joules,Cycles_Per_IO,Instr_Per_IO,LLC_Misses_Per_IO,Dram_Read_Bytes_Per_IO,Dram_Write_Bytes_Per_IO,Energy_Per_IO,p50_Latency,p99_Latency,p99.9_Latency,Polls,Completions,Scans_Per_Completion,Completions_Per_Call,MMIO_Writes_Per_IO,Completions_Per_Poll_Hist,Submit_Logic_ns,Completion_Logic_ns,Submit_Preamble_ns,Tracker_Alloc_ns,Addr_Xlate_ns,Cmd_Construct_ns,Fence_ns,Doorbell_ns,CQE_Detect_ns,Tracker_Lookup_ns,State_Dealloc_ns
128,1,4096,2,607894.47,159447589740,326991180605,18227605,8494.33,75458.80,998.16,8743.161716868392,17930.260198232547,0.9994939308023865,488.4044305738352,4338.707378425953,5.4733184198895577e-05,207.515,296.727,335.515,824354629,18236834,45.202727019393826,0.02212255910071441,1.977620995082694,"0:806321804, 1:17892544, 2:121385, 3:10197, 4:3076, 5:1282, 6:656, 7:1158, 8:265, 9:323, 10:342, 11:110, 12:80, 13:96, 14:87, 15:77, 16:104, 17:99, 18:106, 19:88, 20:82, 21:91, 22:85, 23:72, 24:57, 25:43, 26:56, 27:53, 28:36, 29:37, 30:32, 31:28, 32+:78",76.44117647058823,24.764705882352942,8.75,11.955882352941176,16.801470588235293,7.198529411764706,2.5441176470588234,6.595588235294118,6.727941176470588,4.772058823529412,11.897058823529411
128,1,4096,3,606287.87,159452989208,324575472786,18121431,4629.75,73941.32,971.38,8766.627048412936,17844.95940220608,0.996305105032037,266.90537483456495,4262.721686994441,5.340587357179574e-05,208.485,298.667,335.515,818201626,18188636,44.984221246716906,0.022230016932281188,1.958965356396349,"0:800386130, 1:17551405, 2:234443, 3:14867, 4:4906, 5:2388, 6:1131, 7:1933, 8:470, 9:534, 10:576, 11:190, 12:176, 13:175, 14:141, 15:132, 16:155, 17:153, 18:158, 19:158, 20:137, 21:142, 22:137, 23:137, 24:125, 25:116, 26:102, 27:89, 28:78, 29:56, 30:67, 31:50, 32+:169",72.70588235294117,29.477941176470587,8.713235294117647,12.264705882352942,16.28676470588235,7.4338235294117645,1.6323529411764706,6.485294117647059,12.066176470588236,5.389705882352941,10.580882352941176
16,1,16384,1,247526.17,159470257982,411621264991,7456408,8194.84,119477.52,1070.08,21475.205090704818,55431.34624122101,1.0041238602501437,1157.1722628816715,16871.113064061065,0.00014410328141599465,57.939,127.030,154.182,1172462786,7425785,157.89075309883063,0.006333493129734183,1.9935264488060662,"0:1165061029, 1:7391111, 2:7592, 3:416, 4:352, 5:326, 6:292, 7:300, 8:979, 9:378, 10:9, 11:0, 12:1, 13:0, 14:0, 15:0, 16:1, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",198.625,34.333333333333336,11.083333333333334,42.541666666666664,52.0,14.708333333333334,9.166666666666666,37.291666666666664,7.25,5.75,19.875
16,1,16384,2,247695.80,159448184281,411942219269,7465622,3576.66,118116.51,1045.28,21457.527644931135,55436.577079492934,1.0046761659530226,504.70507724394196,16667.506082024807,0.00014066716781902102,57.939,127.030,153.212,1173546545,7430874,157.9284677683944,0.006331980637376423,1.9933604041731834,"0:1166140333, 1:7395137, 2:8053, 3:407, 4:321, 5:264, 6:291, 7:340, 8:942, 9:432, 10:24, 11:0, 12:0, 13:0, 14:0, 15:0, 16:1, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",205.25,33.75,9.166666666666666,42.458333333333336,52.458333333333336,13.708333333333334,18.625,35.416666666666664,8.916666666666666,5.791666666666667,17.625
16,1,16384,3,244296.23,159466385882,412513918497,7366877,8280.38,118045.65,1068.57,21758.609193709894,56286.025985337554,1.0051836111702037,1184.7102919380566,16889.30900194407,0.0001458024956013443,58.667,129.939,157.091,1175659277,7328887,160.41443632573404,0.006233852905666307,1.992300768074344,"0:1168358596, 1:7288404, 2:8728, 3:446, 4:379, 5:367, 6:351, 7:348, 8:1149, 9:492, 10:16, 11:0, 12:0, 13:0, 14:0, 15:0, 16:1, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",198.625,31.708333333333332,9.833333333333334,42.125,50.25,12.75,13.208333333333334,36.291666666666664,7.416666666666667,5.791666666666667,17.083333333333332
32,1,16384,1,244193.50,159449826657,412713637956,7358636,3401.91,116471.71,1035.57,21765.50244744434,56336.967467193026,1.0044815552693527,486.9309489073214,16671.128945550696,0.00014135920898795422,128.970,207.515,238.545,1172829125,7325805,160.0955970026502,0.006246267971900851,1.9929673257751197,"0:1165529065, 1:7288530, 2:8242, 3:482, 4:399, 5:336, 6:312, 7:329, 8:1009, 9:410, 10:10, 11:0, 12:0, 13:0, 14:0, 15:0, 16:0, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:1",159.325,27.3,12.55,26.675,44.575,10.8,5.65,22.925,6.15,5.525,14.25
32,1,16384,2,243553.90,159438405720,414364608900,7349754,9491.29,118108.22,1079.21,21821.09801567538,56710.870283744174,1.0059038266272886,1362.099437132123,16949.765520037523,0.0001477031025438996,128.970,207.515,241.455,1177802396,7306617,161.19667911976225,0.006203601745771962,1.9942538386780093,"0:1170516758, 1:7276338, 2:6527, 3:394, 4:428, 5:310, 6:248, 7:233, 8:814, 9:332, 10:13, 11:0, 12:0, 13:0, 14:0, 15:0, 16:0, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:1",179.975,35.4,14.7,34.5,42.4,13.925,10.75,23.95,8.05,7.975,18.225
32,1,16384,3,243906.53,159456809543,413519204999,7354209,4006.23,116520.70,1056.12,21792.06511923509,56513.34345155362,1.0050583721559239,574.104709767303,16697.763896576827,0.00014433397908616876,128.970,207.515,238.545,1175289059,7317196,160.6201417865532,0.006225869239543393,1.9937151060831921,"0:1167994842, 1:7283779, 2:7588, 3:365, 4:353, 5:299, 6:291, 7:302, 8:823, 9:397, 10:19, 11:0, 12:0, 13:0, 14:0, 15:0, 16:0, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:1",167.725,28.075,9.4,26.1,44.125,10.65,7.425,22.425,6.45,5.975,14.275
64,1,16384,1,245710.87,159472896705,407439757409,7414934,7788.76,118631.56,1061.57,21634.220836465232,55273.6036747852,1.0059158826252443,1107.9562476227989,16875.417661763735,0.00014401343606274588,257.939,358.788,403.394,1149971265,7371326,156.0060245605743,0.006410008862264919,1.994099135025379,"0:1142621662, 1:7339984, 2:6826, 3:375, 4:348, 5:299, 6:272, 7:292, 8:879, 9:312, 10:14, 11:2, 12:0, 13:0, 14:0, 15:0, 16:0, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",125.33333333333333,26.09722222222222,8.569444444444445,17.319444444444443,30.916666666666668,8.86111111111111,5.680555555555555,12.222222222222221,6.166666666666667,6.416666666666667,12.277777777777779
64,1,16384,2,244027.13,159475602050,407541248954,7360441,3709.54,116486.96,1039.09,21783.862317549145,55668.844273448885,1.0054129363949547,531.325432960398,16684.67908588142,0.00014193640409299299,261.818,360.727,401.455,1150728268,7320814,157.18583589201967,0.0063618963777815184,1.9944738658088275,"0:1143427651, 1:7291476, 2:6597, 3:347, 4:302, 5:298, 6:244, 7:256, 8:787, 9:295, 10:13, 11:0, 12:0, 13:0, 14:1, 15:0, 16:0, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:1",122.875,24.26388888888889,7.916666666666667,18.5,30.319444444444443,7.736111111111111,4.027777777777778,12.166666666666666,5.763888888888889,5.347222222222222,11.833333333333334
64,1,16384,3,243695.03,159490892849,407528039364,7354440,8510.77,117766.43,1079.49,21815.640208036522,55742.90119416879,1.0059622471578513,1220.6772215146666,16890.92744370973,0.00014765586314993784,261.818,360.727,401.455,1150667696,7310851,157.3917586338444,0.006353572821601138,1.993647415241364,"0:1143380035, 1:7277444, 2:7249, 3:394, 4:366, 5:322, 6:296, 7:301, 8:885, 9:394, 10:9, 11:0, 12:0, 13:0, 14:0, 15:0, 16:0, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:1",121.97222222222223,24.430555555555557,8.069444444444445,16.944444444444443,32.65277777777778,8.347222222222221,4.638888888888889,12.791666666666666,5.25,5.694444444444445,12.11111111111111
128,1,16384,1,243159.60,159459951033,390608169231,7347735,5139.15,116121.64,1073.48,21859.435947007645,53546.19890680853,1.0072581958516136,738.7177462045504,16691.693409683736,0.00014715712094717488,523.636,659.394,725.333,1087097842,7294788,149.02391159277008,0.0067103325185333225,1.9938376550490569,"0:1079825468, 1:7261992, 2:7271, 3:456, 4:689, 5:399, 6:259, 7:252, 8:720, 9:316, 10:19, 11:0, 12:0, 13:0, 14:0, 15:0, 16:0, 17:0, 18:0, 19:0, 20:0, 21:0, 22:0, 23:1, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",118.17647058823529,32.10294117647059,7.573529411764706,11.058823529411764,24.235294117647058,6.823529411764706,2.985294117647059,6.713235294117647,5.051470588235294,8.397058823529411,17.36764705882353
128,1,16384,2,245830.10,159457184751,389502338061,7421493,9465.28,118836.73,1077.54,21621.59756555442,52814.57099313713,1.006317371225086,1345.7892858089117,16896.40433189155,0.00014610904034941205,519.758,655.515,709.818,1083219982,7374903,146.87921753004753,0.00680831513686017,1.9924792231165616,"0:1075872756, 1:7335066, 2:8530, 3:455, 4:534, 5:443, 6:316, 7:342, 8:1123, 9:396, 10:17, 11:1, 12:1, 13:1, 14:0, 15:0, 16:0, 17:1, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:0",102.05882352941177,28.88235294117647,8.169117647058824,11.720588235294118,25.066176470588236,7.301470588235294,2.5,6.639705882352941,5.580882352941177,7.25,14.764705882352942
128,1,16384,3,243381.33,159440563052,389917285825,7358868,5680.82,116190.27,1081.17,21836.865773831818,53402.793307248896,1.0078653116079201,815.835176883398,16686.342724743925,0.0001480762719145302,523.636,659.394,721.455,1085016456,7301440,148.60307774904678,0.006729335725392906,1.9926598313847659,"0:1077741750, 1:7262395, 2:8586, 3:523, 4:862, 5:459, 6:307, 7:317, 8:868, 9:376, 10:10, 11:0, 12:1, 13:0, 14:0, 15:0, 16:0, 17:1, 18:0, 19:0, 20:0, 21:0, 22:0, 23:0, 24:0, 25:0, 26:0, 27:0, 28:0, 29:0, 30:0, 31:0, 32+:1",107.63235294117646,31.669117647058822,8.029411764705882,13.022058823529411,26.573529411764707,7.1911764705882355,3.4338235294117645,6.786764705882353,6.25,7.669117647058823,16.419117647058822
